RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	2.043000e+01
2	1.438721e-02	1.044501e+00	1.045940e+01
3	8.122223e-01	1.210146e-01	2.022368e+00
4	3.377510e-01	1.087966e-04	3.388390e-01
5	9.340490e-01	-7.068854e-01	9.340490e-01
6	2.583499e-01	-2.105688e-01	2.583499e-01
7	3.377493e-01	1.111200e-04	3.388605e-01
8	1.508126e-01	1.091560e-04	1.519041e-01
9	2.047664e-01	1.136156e-04	2.059026e-01
10	1.527123e-01	1.200874e-04	1.539131e-01
11	1.454043e-01	1.072042e-04	1.464764e-01
12	1.508129e-01	1.081921e-04	1.518948e-01
13	1.465053e-01	1.107262e-04	1.476126e-01
14	1.455533e-01	1.162599e-04	1.467159e-01
15	1.453763e-01	1.205321e-04	1.465816e-01
16	1.453632e-01	1.203060e-04	1.465663e-01
17	1.453792e-01	1.089811e-04	1.464690e-01
18	1.453674e-01	1.080852e-04	1.464483e-01
19	1.453678e-01	1.080854e-04	1.464486e-01
20	1.453665e-01	1.068457e-04	1.464349e-01
21	1.453698e-01	1.024234e-04	1.463940e-01
22	1.453729e-01	1.075713e-04	1.464486e-01
23	1.453702e-01	1.072663e-04	1.464429e-01
24	1.453687e-01	1.084384e-04	1.464531e-01
25	1.453678e-01	1.098871e-04	1.464666e-01
26	1.453673e-01	1.106795e-04	1.464741e-01
27	1.453672e-01	1.109476e-04	1.464767e-01
28	1.453672e-01	1.109870e-04	1.464771e-01
29	1.453697e-01	1.036021e-04	1.464057e-01
30	1.453672e-01	1.110644e-04	1.464778e-01
