RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	8.636360e-01	2.953027e-02	1.158939e+00
3	5.080560e-01	2.110303e-02	7.190863e-01
4	2.682620e-01	2.285513e-02	4.968133e-01
5	1.486982e-01	2.700101e-02	4.187082e-01
6	1.546559e-01	3.309312e-02	4.855871e-01
7	1.419666e-01	1.095910e-02	2.515576e-01
8	1.552823e-01	5.890813e-03	2.141904e-01
9	1.427839e-01	8.586595e-03	2.286499e-01
10	1.465162e-01	2.704067e-03	1.735569e-01
11	1.448469e-01	2.627694e-03	1.711238e-01
12	1.469829e-01	1.292149e-03	1.599044e-01
13	1.448792e-01	2.535062e-03	1.702298e-01
14	1.452912e-01	8.231456e-04	1.535226e-01
15	1.454750e-01	8.245864e-04	1.537209e-01
16	1.453096e-01	2.974793e-04	1.482844e-01
17	1.456621e-01	2.876943e-04	1.485390e-01
18	1.454836e-01	1.147635e-04	1.466313e-01
19	1.457233e-01	1.121567e-04	1.468448e-01
20	1.456100e-01	4.890837e-05	1.460991e-01
21	1.455344e-01	-3.152865e-05	1.455344e-01
22	1.457241e-01	1.096103e-04	1.468203e-01
23	1.456107e-01	4.692222e-05	1.460799e-01
24	1.455639e-01	2.139337e-05	1.457778e-01
25	1.455430e-01	1.011262e-05	1.456441e-01
